"","x"
"1",-217
"2",-177
"3",-166
"4",-136
"5",-110
"6",-95
"7",-64
"8",-37
"9",-14
"10",-25
"11",-51
"12",-62
"13",-73
"14",-88
"15",-113
"16",-120
"17",-83
"18",-33
"19",-19
"20",21
"21",17
"22",44
"23",44
"24",78
"25",88
"26",122
"27",126
"28",114
"29",85
"30",64
"31",55
"32",51
"33",40
"34",30
"35",14
"36",1
"37",1
"38",-4
"39",-13
"40",-56
"41",-83
"42",-104
"43",-93
"44",-88
"45",-75
"46",-80
"47",-101
"48",-156
"49",-226
"50",-293
"51",-333
"52",-347
"53",-329
"54",-279
"55",-205
"56",-131
"57",-86
"58",-59
"59",-48
"60",-35
"61",-30
"62",-12
"63",11
"64",57
"65",92
"66",86
"67",53
"68",26
"69",6
"70",-12
"71",-35
"72",-31
"73",0
"74",36
"75",54
"76",65
"77",104
"78",166
"79",248
"80",318
"81",384
"82",415
"83",421
"84",402
"85",392
"86",387
"87",391
"88",396
"89",400
"90",391
"91",361
"92",328
"93",296
"94",282
"95",269
"96",256
"97",225
"98",202
"99",193
"100",205
"101",201
"102",178
"103",139
"104",130
"105",101
"106",67
"107",22
"108",2
"109",12
"110",26
"111",21
"112",10
"113",-11
"114",-12
"115",-15
"116",6
"117",22
"118",51
"119",78
"120",111
"121",141
"122",150
"123",157
"124",143
"125",138
"126",137
"127",151
"128",151
"129",136
"130",111
"131",105
"132",105
"133",110
"134",104
"135",92
"136",96
"137",115
"138",144
"139",126
"140",131
"141",112
"142",119
"143",139
"144",183
"145",206
"146",231
"147",244
"148",239
"149",263
"150",273
